formula,target_hardness_Reuss,target_hardness_VRH,target_hardness_Voigt,Bulk_Reuss,Bulk_Voigt,Bulk_VRH,Shear_Reuss,Shear_Voigt,Shear_VRH
Ag2BiO3,-1.202772193,-1.087837231,9.199646986,20,22,21,98,22,100
Ag2CO3,-1.373487824,-0.902306957,8.196978704,8,19,13,27,19,45
Ag2F,-0.290530904,0.190518269,10.45207885,20,26,23,69,26,74
Ag2H3IO6,0.056167727,0.45166529,11.33946091,25,29,27,87,29,88
Ag2HgO2,-0.900506443,-0.907897817,5.967819466,11,13,12,35,13,40
Ag2HgS2,-1.874988646,-1.475078474,6.365153423,8,14,11,37,14,46
Ag2O3,-1.364281136,-0.580165105,9.836705333,16,24,20,76,24,76
Ag2PdO2,-2.711934471,-1.848993083,8.872120148,6,21,14,77,21,84
Ag2Se,-1.788581598,-1.645489643,5.967819466,11,13,12,56,13,58
Ag2SeO3,-1.373487824,-1.503946015,4.232057388,8,9,8,27,9,29
Ag2Te,-0.93639015,-0.982745067,6.750870355,14,15,14,51,15,52
Ag3Ge,-0.542373055,-0.322662138,9.199646986,20,22,21,75,22,75
Ag3Ge5P6,4.373384265,5.151400979,13.53590636,34,37,36,65,37,65
Ag3P,-1.235534793,-1.235534793,7.848368054,18,18,18,85,18,85
Ag3P11,5.140402074,5.417157239,12.73784132,31,34,32,52,34,53
Ag3PO4,-1.846071497,-1.846071497,5.967819466,13,13,13,75,13,75
Ag3Pd,0.007324027,1.052052186,13.79590462,27,38,32,99,38,99
Ag3Sb,-0.815463903,-0.815463903,7.491621506,17,17,17,65,17,65
Ag5P(S2Cl)2,-1.386818668,-1.48078302,5.132886594,10,11,10,38,11,40
AgAsSe2,0.434576335,0.713245989,10.14694665,22,25,23,65,25,65
AgAu3,-1.355852416,-1.222451963,9.836705333,22,24,23,122,24,122
AgAuO2,-1.860334755,-0.815463903,9.521050863,11,23,17,59,23,65
AgAuO3,5.159554457,5.159554457,18.07269064,56,56,56,126,56,126
AgB(CN)4,-2.77000601,-2.618948241,2.127757142,3,5,4,33,5,33
AgBiO2,-1.682505572,-1.111986742,9.521050863,15,23,19,83,23,87
AgBiS2,-1.293730077,-1.110990038,7.491621506,14,17,15,60,17,61
AgBiSCl2,0.434182641,0.101778436,6.750870355,14,15,14,33,15,36
AgBiSe2,0.526837576,1.019037797,9.521050863,19,23,21,51,23,53
AgClO3,-1.945245028,-1.945245028,3.243273335,7,7,7,32,7,32
AgClO4,-1.973954493,-1.713287702,3.243273335,6,7,7,26,7,27
AgF2,-2.316800631,-0.668428793,7.491621506,5,17,11,28,17,32
AgH4WS4N,6.451831263,4.232057388,4.691835641,8,10,9,6,10,9
AgNO3,-1.713850026,-1.523729342,4.232057388,8,9,9,33,9,35
AgP2,0.40948631,1.866423993,11.62668571,21,30,26,61,30,62
AgPF6,-2.649121927,-2.649121927,1.500233939,3,4,3,23,4,23
AgPtO2,-0.304250094,0.49612148,14.3075299,29,40,34,121,40,123
AgRhO2,-0.286915324,0.92089595,15.78206448,31,46,39,133,46,137
AgSbSe2,-0.912193892,0.03411343,9.521050863,15,23,19,56,23,58
